A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
51,-0.4,-1.8,-2.2,-0.1,1.6,0.9,1.4,bad
52,1.3,-2.5,-3.5,3.8,0.3,-0.0,0.9,good
53,1.2,-1.8,0.7,2.4,1.3,1.1,-1.2,good
54,3.0,-3.4,-3.1,-1.5,3.6,1.7,0.4,good
55,2.0,-0.6,-2.4,2.9,1.7,-0.9,2.3,good
56,1.8,-0.5,-0.4,0.3,-0.8,2.1,-3.3,good
57,1.1,-1.0,1.2,1.3,-1.0,2.6,2.7,good
58,-0.5,-0.1,-0.8,3.0,3.7,-0.4,-1.5,good
59,0.8,0.4,-1.6,-0.6,2.8,-0.7,1.0,good
60,-3.5,1.4,0.5,0.9,3.1,-1.7,-2.2,good
61,-4.7,0.8,-0.9,-1.4,0.5,3.2,-0.6,bad
62,-3.3,-1.4,1.4,1.7,0.1,0.7,1.6,bad
63,0.5,-2.4,-0.8,-2.4,-0.3,0.9,-0.0,good
64,-2.2,-1.2,1.5,-0.3,1.5,1.1,-0.9,good
65,-3.6,1.0,2.6,0.4,1.7,-5.3,2.1,good
66,-2.2,2.1,0.3,3.9,-3.2,-3.6,0.1,good
67,-1.6,1.1,1.5,1.7,3.1,-1.5,2.8,bad
68,-1.1,-0.3,-1.9,-0.0,-0.7,2.7,-0.1,bad
69,-0.4,-3.2,-1.3,2.9,-2.3,-0.2,-3.0,bad
70,0.6,-3.5,1.3,0.4,-0.1,3.0,-2.0,bad
71,2.4,-2.7,2.6,-3.3,4.6,-1.2,3.7,good
72,0.6,-1.8,-4.6,-0.3,2.6,2.5,1.2,bad
73,0.0,-1.1,0.5,1.7,-3.3,-0.5,0.5,bad
74,-2.2,-1.3,-1.7,0.1,-2.0,2.7,-1.5,bad
75,2.2,-1.6,-3.1,1.4,2.2,0.6,1.5,good
76,2.2,1.3,-3.4,-3.3,1.5,2.3,0.2,good
77,0.9,0.2,-0.9,0.4,0.8,-0.7,0.3,bad
78,-2.2,0.7,-2.7,-0.8,1.4,2.7,-1.4,bad
79,-2.2,-1.7,1.3,2.3,0.3,-0.9,-1.8,bad
80,1.9,-0.3,-0.6,-0.9,0.6,0.4,2.3,good
81,-2.5,-2.5,3.3,1.1,1.7,-0.0,-0.9,good
82,2.4,-0.8,-4.0,-0.6,2.7,1.4,-1.7,bad
83,1.4,-6.2,0.6,2.8,0.2,-1.7,1.8,good
84,1.8,-2.1,-1.3,1.6,0.2,3.3,-0.2,good
85,-0.5,-2.7,-2.3,1.4,0.9,4.1,-1.2,bad
86,1.9,-1.2,-2.0,1.6,0.4,2.7,0.1,good
87,0.5,-0.8,0.3,-0.8,1.2,-1.3,1.4,good
88,-1.4,-0.4,-2.0,0.5,0.9,2.6,-0.5,bad
89,1.3,0.1,-2.0,1.3,0.4,0.3,0.1,bad
90,0.5,0.6,-2.8,1.3,0.7,1.0,-3.0,good
91,-0.6,-1.2,-0.3,0.9,2.1,0.4,-4.6,good
92,-0.7,-2.4,-0.9,2.4,0.2,2.3,1.3,bad
93,-2.1,-2.3,3.8,-0.5,0.7,0.7,-1.7,good
94,0.1,-2.1,-5.0,0.2,1.5,5.3,-1.7,bad
95,1.4,-0.8,-1.1,1.9,-0.2,-0.6,1.7,good
96,-0.6,-2.1,-1.6,-0.2,3.6,3.3,-1.6,bad
97,1.8,-1.0,-1.5,0.9,3.1,-0.7,3.4,good
98,-0.2,0.6,-2.1,3.1,-4.4,-0.6,-2.2,good
99,-1.2,0.7,-0.0,-0.7,0.7,1.3,-2.1,good
100,-1.6,-0.8,0.1,1.9,2.0,0.7,0.3,good
101,-1.1,-2.1,2.5,0.9,1.4,0.9,-0.9,good
102,-1.9,-3.5,0.4,1.8,-0.3,0.8,-3.5,bad
103,-2.0,0.8,0.3,0.7,2.2,-0.1,-1.5,good
104,-1.6,-0.0,2.0,1.9,1.0,-0.7,2.1,bad
105,-0.4,-1.4,-0.7,-0.6,-1.9,1.3,-1.8,bad
106,-0.7,-1.4,1.8,3.1,2.2,0.6,3.0,good
107,1.3,-2.4,-1.5,-1.0,1.8,0.1,-0.1,good
108,0.1,-3.0,-0.4,1.4,-3.8,0.9,-1.6,bad
109,1.6,-3.0,0.3,1.0,-1.6,2.1,-0.5,bad
110,1.4,-1.2,-0.3,-0.4,-1.1,3.1,-1.7,good
111,-1.2,-0.2,-0.0,2.5,1.5,0.8,-0.4,good
112,1.1,-4.3,-1.4,-2.8,4.3,0.5,1.6,good
113,-2.0,-1.6,-0.6,0.5,1.2,-0.1,5.4,bad
114,-1.7,-2.5,-2.1,0.4,3.5,1.0,5.2,bad
115,0.1,-1.6,-0.8,2.3,2.3,0.5,1.8,bad
116,-1.1,-3.1,-2.9,-0.6,3.7,3.2,0.6,bad
117,-1.4,-1.1,-0.8,1.9,-1.5,0.8,2.7,bad
118,-3.0,1.5,-0.6,0.2,2.3,-1.2,-2.7,good
119,-0.6,-2.6,-1.1,1.1,-2.5,1.8,-1.7,bad
120,-3.8,-0.8,1.4,2.3,-0.3,0.9,1.7,bad
121,-0.8,-0.1,-1.8,1.2,-0.6,1.3,0.2,bad
122,-3.2,-0.8,-1.1,0.5,-0.0,2.4,-1.6,bad
123,0.7,-1.7,-1.4,2.2,-2.8,0.8,-0.1,bad
124,0.1,-2.2,-2.7,2.8,0.0,-0.9,-1.5,good
125,-2.2,-1.1,3.6,0.1,1.6,-0.2,-1.3,good
126,-2.2,-0.0,0.3,0.8,2.2,-0.7,3.4,bad
127,-3.7,0.0,1.7,0.1,3.2,-1.0,4.4,bad
128,-2.5,-0.4,-1.1,0.9,1.9,2.4,0.3,bad
129,-1.2,-1.4,0.4,2.7,-0.1,-1.0,3.1,bad
130,-3.4,-1.8,0.8,-0.6,4.6,0.2,3.8,bad
131,1.7,1.6,-1.3,2.8,-2.4,-0.2,2.1,good
132,-2.3,-1.0,2.3,-0.6,-0.8,1.3,-0.3,good
133,4.4,-2.5,-1.8,0.9,-0.4,2.0,1.6,good
134,0.1,-3.0,-2.5,1.6,0.3,2.1,-3.4,bad
135,1.5,-0.1,-0.7,-0.6,3.0,-0.9,2.3,good
136,0.0,-0.6,-1.7,0.0,0.7,-0.0,1.3,bad
137,0.3,-2.9,-0.2,-0.2,-2.8,0.4,-3.0,bad
138,-0.8,0.9,-1.3,2.2,0.6,1.4,2.4,good
139,0.0,0.6,0.4,1.3,0.3,0.4,-2.3,good
140,1.1,-2.5,-3.2,2.0,-1.5,2.9,-0.9,bad
141,-2.5,-3.1,-1.1,1.0,-2.2,1.8,-3.7,bad
142,1.3,-0.6,-2.6,-0.5,2.6,-0.2,0.5,bad
143,-1.1,-0.1,0.1,2.2,-0.6,0.3,0.6,bad
144,-1.1,-1.4,-1.3,0.5,1.5,1.4,1.7,bad
145,-3.6,-1.6,0.4,0.3,4.3,1.0,4.2,bad
146,1.3,-2.6,0.7,4.6,3.8,0.2,-0.4,good
147,-1.5,-2.2,2.3,1.3,3.6,-0.3,-2.4,good
148,1.5,1.9,-1.4,-0.4,0.5,0.2,3.4,good
149,0.4,-1.4,-1.2,2.6,2.8,1.7,1.6,good
150,1.2,-3.5,-0.0,1.1,2.2,-1.4,1.2,good
151,-2.5,-0.6,-2.1,2.1,-4.0,0.6,-0.3,bad
152,0.2,1.4,-0.1,-1.5,-0.7,2.7,-0.2,good
153,-3.8,0.2,1.5,-0.0,3.1,0.2,3.1,bad
154,-1.7,-2.2,0.5,0.7,-1.9,0.5,-2.2,bad
155,-3.9,-0.3,2.7,-1.3,0.8,0.4,-2.2,good
156,1.9,-0.8,-3.1,0.1,0.4,-1.7,1.4,bad
157,-1.9,-1.1,0.1,2.8,-2.2,1.8,0.1,bad
158,0.5,-1.9,-3.9,0.5,1.8,2.9,0.2,bad
159,0.0,-0.3,-0.6,2.2,2.3,-0.4,-4.8,good
160,-3.0,-0.8,-3.9,0.6,-3.4,4.0,-0.8,bad
161,3.3,1.0,-0.4,6.3,-4.3,-5.9,3.5,bad
162,0.6,-1.3,0.8,1.8,1.1,1.4,2.3,good
163,1.4,-1.0,-2.9,0.9,-0.1,0.1,1.6,bad
164,-1.3,-0.4,-1.0,2.2,0.3,2.1,-0.2,bad
165,-0.3,1.8,-0.2,3.5,-0.9,-3.7,1.7,bad
166,-0.9,-2.1,-0.7,2.0,-1.6,2.5,-2.1,bad
167,0.6,-0.6,-0.3,1.2,0.7,2.0,-2.2,good
168,2.2,-0.0,-1.6,3.4,-0.3,-0.7,1.0,good
169,-2.2,-2.2,2.3,-0.6,-0.9,2.8,-2.0,good
170,0.9,-2.6,0.7,2.2,-0.3,-1.8,1.4,good
171,-2.6,-2.1,-1.2,0.0,-0.5,1.3,2.3,bad
172,-0.1,0.0,0.0,1.5,-0.2,2.1,-0.1,good
173,-0.8,-2.6,-2.8,1.6,-0.8,5.5,-2.2,bad
174,0.3,-1.2,2.6,-0.3,-1.2,2.2,3.0,good
175,-3.0,-0.5,2.2,-1.0,1.9,-0.3,-2.3,bad
176,1.7,-2.2,2.2,1.4,-1.3,-1.7,-1.0,bad
177,-1.1,1.2,1.2,-0.8,-0.1,-0.3,-2.0,good
178,-3.1,-1.5,-1.7,0.2,1.1,3.4,-0.0,bad
179,0.4,-2.6,0.3,2.6,2.6,1.2,-1.0,good
180,2.2,-2.3,0.5,3.0,-1.0,2.6,2.6,good
181,-1.6,-2.9,3.3,1.4,1.4,0.9,0.2,good
182,-2.6,-0.5,-0.9,-1.1,0.6,3.3,-1.1,bad
183,-2.5,-1.3,1.9,-0.3,0.6,0.3,-2.6,good
184,-5.0,-0.8,-0.5,1.8,1.3,3.8,2.0,bad
185,-0.3,-1.6,-4.8,-1.6,4.8,2.6,2.6,bad
186,-1.6,1.7,-1.0,-0.2,-2.3,0.9,2.1,bad
187,-2.7,-1.2,-2.0,-0.7,-0.5,3.8,-1.9,bad
188,-2.7,-1.6,2.6,0.2,2.4,-0.2,-3.9,good
189,-2.7,-1.4,1.0,-0.1,1.7,2.8,-0.8,bad
190,-0.4,-1.5,1.1,1.0,0.2,2.1,0.9,good
191,2.9,-0.9,-4.7,-0.5,2.7,1.9,-0.2,good
192,-1.7,0.6,-0.7,-0.4,-1.1,1.8,0.9,bad
193,-2.1,-0.7,-0.7,0.5,1.8,1.3,0.3,bad
194,-2.9,-0.7,1.1,0.7,1.0,0.4,0.8,bad
195,1.3,-1.3,0.4,1.2,0.4,-3.5,4.2,bad
196,-0.8,-0.3,-0.0,-0.4,-1.1,2.3,-0.5,good
197,-1.7,0.4,1.1,1.1,1.4,-0.2,-0.4,bad
198,-1.8,-1.9,-0.7,-0.2,2.5,0.1,5.0,bad
199,-4.0,-1.9,-0.1,1.5,-0.4,1.8,2.7,bad
200,-1.2,-1.5,-1.7,-0.3,1.9,1.4,1.6,bad
201,-4.4,0.2,2.3,0.9,2.2,0.3,3.8,bad
202,1.1,-3.0,2.0,1.7,2.8,-3.3,2.9,good
203,-2.8,0.4,-3.1,-0.2,-0.0,4.1,-0.2,bad
204,0.2,-0.7,1.9,1.4,1.3,1.0,1.1,good
205,0.1,-2.0,-1.6,2.0,-1.5,0.9,-1.7,bad
206,-4.3,-0.9,-0.3,0.4,3.3,2.5,1.8,bad
207,4.5,-0.3,-1.3,3.2,4.5,-2.1,0.3,good
208,0.9,-3.3,3.0,0.1,-1.0,2.6,-0.5,good
209,-1.0,-1.3,-3.2,-0.8,-0.2,4.2,-2.2,bad
210,-0.7,-0.8,0.0,3.5,1.8,1.0,0.9,good
211,-0.1,-1.3,-1.8,-0.3,-0.9,0.9,-2.8,bad
212,2.4,-4.0,-1.1,-2.5,1.6,1.8,2.1,good
213,-0.6,-0.1,-0.5,2.1,3.1,-0.3,-3.0,good
214,-1.1,-1.7,3.4,2.2,1.8,-2.0,-1.5,bad
215,2.6,-0.9,-2.2,3.5,-0.9,-0.0,1.6,good
216,-0.5,-0.9,-0.8,1.6,0.2,1.9,-0.3,good
217,1.6,0.9,-0.0,-0.7,1.8,-0.9,2.7,good
218,0.1,-1.5,-0.4,3.2,0.1,-2.5,0.3,good
219,-0.3,-2.5,2.3,0.7,0.4,1.9,-1.7,good
220,0.3,-0.5,-0.1,2.2,3.9,-3.7,1.8,good
221,1.8,1.7,-1.5,-1.9,-0.8,1.4,0.8,good
222,0.5,-0.9,-1.0,2.5,0.6,-1.6,1.9,good
223,-0.5,-1.6,2.1,-3.1,3.4,-2.4,1.2,good
224,0.6,-0.8,0.9,-0.4,0.7,-1.5,2.6,good
225,-2.0,-2.6,-0.9,-1.8,1.2,3.7,-4.4,bad
226,0.6,-1.5,-1.5,1.6,0.2,-0.0,1.5,bad
227,-1.1,-3.3,-4.1,-0.7,-3.6,2.1,-6.5,bad
228,-1.8,-1.1,0.7,4.2,3.0,0.0,1.1,good
229,-1.2,0.2,-0.2,1.7,-2.8,-2.0,-0.2,bad
230,-1.3,1.1,-3.2,2.0,0.2,1.4,0.8,bad
231,-2.6,-2.2,3.2,3.2,4.0,-0.9,-0.6,good
232,-0.0,0.0,-0.6,1.5,2.4,-2.5,1.4,good
233,1.3,-0.3,-1.9,-0.1,3.7,-1.1,-0.5,bad
234,-1.5,-0.6,-1.5,1.8,-1.0,2.1,0.5,bad
235,-5.0,-0.2,3.5,-0.8,1.7,-0.1,-1.9,good
236,-2.3,-0.6,-0.5,1.2,1.1,2.9,0.7,bad
237,0.1,-1.2,-0.8,1.9,-1.2,0.6,-0.3,bad
238,3.1,-0.2,-1.5,3.2,-1.2,-1.8,1.1,bad
239,-0.9,-0.0,-1.9,1.9,-1.3,-0.2,-0.6,bad
240,-2.3,-2.1,-1.1,1.5,1.5,2.7,2.7,bad
241,-2.2,-1.7,3.0,1.3,1.4,-2.2,3.8,bad
242,-0.0,-0.8,-3.4,3.2,-1.3,0.3,-0.8,bad
243,-4.6,0.1,1.6,-0.6,-0.7,1.4,0.1,bad
244,-2.8,0.8,3.3,0.2,3.3,-4.7,7.4,bad
245,2.5,-3.1,-2.8,2.2,-1.3,1.1,-1.0,good
246,0.6,-0.3,-0.6,-0.5,-1.6,3.0,0.1,good
247,-1.5,5.1,-0.4,3.7,-1.6,-3.9,0.9,good
248,0.1,-1.5,-2.1,0.4,1.3,1.9,-1.1,bad
249,-2.0,-1.1,0.5,2.5,2.8,0.3,-0.4,good
250,-4.4,-1.9,-0.2,-1.2,1.5,2.4,-4.7,bad
251,5.2,-0.4,0.7,2.7,4.2,-2.1,3.7,good
252,0.1,-0.6,1.4,-1.6,-1.5,1.9,-2.7,good
253,-3.1,0.2,2.3,4.4,-4.8,1.2,-1.4,bad
254,-0.8,1.6,-1.4,0.2,-2.8,-0.2,0.2,good
255,1.2,0.5,-0.9,2.8,-1.3,-1.3,0.3,good
256,-4.4,-1.3,-0.6,1.0,0.7,3.0,-1.6,bad
257,-2.4,3.6,-4.0,-0.4,0.8,0.8,-1.7,good
258,-1.6,-0.2,-2.1,0.0,1.8,-1.7,-1.0,good
259,-1.2,0.7,0.5,0.9,1.7,-1.4,0.9,bad
260,1.9,0.6,-1.2,-0.5,-3.7,3.5,-0.1,good
261,-2.7,-1.1,1.3,1.0,0.3,-0.6,3.2,bad
262,3.1,-0.6,-1.9,-2.3,2.0,2.2,3.4,good
263,-0.9,0.0,-1.1,0.1,0.5,1.3,-0.5,bad
264,0.2,-1.1,-0.3,3.3,-3.4,-1.1,0.7,bad
265,0.8,0.8,-2.1,0.3,1.2,-0.3,1.3,bad
266,-1.7,-0.9,-0.1,1.8,0.3,0.6,2.5,bad
267,0.4,-2.2,-4.3,-0.3,1.5,2.7,0.2,bad
268,-1.6,-1.4,0.3,-0.2,0.8,3.3,-0.2,bad
269,0.5,0.3,1.3,4.7,-3.1,-4.6,2.2,bad
270,0.4,-1.1,0.2,1.1,-1.4,2.2,0.7,good
271,-1.0,-0.3,1.8,1.2,0.2,-2.7,2.1,bad
272,-3.2,-0.9,0.8,-0.1,3.8,0.4,2.2,bad
273,-0.3,-1.8,1.2,2.3,1.3,1.2,0.4,good
274,2.5,-1.4,-1.4,1.1,-1.4,0.9,1.5,good
275,2.7,-4.7,1.4,1.3,-1.3,4.6,0.7,good
276,-6.1,4.7,0.3,-1.4,2.0,-3.4,-5.0,good
277,-2.6,-0.3,0.6,-0.4,2.7,-0.7,2.5,bad
278,-2.3,2.1,-1.6,-1.7,0.0,1.9,0.8,bad
279,-0.6,-0.2,-1.7,0.5,1.5,0.4,1.8,bad
280,1.4,-1.3,-3.7,0.6,1.1,1.6,-0.1,bad
281,-0.4,-2.4,-1.5,1.1,-0.9,1.6,-2.4,bad
282,-5.2,-0.8,3.8,-1.1,1.3,-0.6,-1.4,good
283,3.7,-2.3,-2.7,3.6,0.4,3.8,0.0,good
284,0.6,-3.8,-1.6,1.2,-0.4,0.1,0.4,good
285,-0.4,-2.2,-2.7,0.8,0.2,3.4,0.4,bad
286,-5.5,-1.8,-0.6,0.4,-1.6,2.0,-3.1,bad
287,-4.3,-1.4,1.1,1.6,-2.3,2.4,-0.0,bad
288,-2.0,-1.4,3.6,0.4,-0.8,1.9,3.6,good
289,0.5,0.4,-2.9,0.5,-0.2,2.3,0.4,bad
290,-3.2,0.4,1.6,1.5,1.0,-2.2,4.0,bad
291,-0.9,-1.1,-0.3,2.6,1.3,1.3,0.3,good
292,-1.3,-1.1,2.5,2.1,1.8,-0.0,0.8,good
293,-2.6,-0.6,1.6,1.0,0.3,-1.2,2.2,bad
294,0.5,-4.5,-0.7,3.2,2.5,-2.0,3.4,good
295,0.6,-0.0,1.2,1.8,-0.3,-0.3,2.3,bad
296,-1.4,-0.9,-0.6,1.5,1.6,0.1,3.3,bad
297,-3.9,-1.9,1.4,1.6,-0.1,2.4,1.8,bad
298,1.1,-0.3,-1.4,0.5,-0.6,-2.7,2.7,bad
299,-3.0,-0.5,1.7,1.5,1.6,-0.6,0.1,good
300,-2.7,-1.3,0.7,-0.0,-0.1,1.5,-1.8,good
301,0.7,0.7,-1.0,2.1,0.6,-1.7,1.3,good
302,1.0,-3.9,1.4,2.4,0.4,3.2,2.4,good
303,2.7,-3.9,-0.1,-0.7,1.2,0.1,-0.3,good
304,-3.3,-1.3,2.7,1.2,1.1,-0.7,4.5,bad
305,-1.8,0.4,-1.5,2.0,3.6,-0.5,-3.6,good
306,-2.3,-0.2,-0.4,-0.6,3.3,-1.1,3.7,bad
307,-2.7,-2.8,-2.0,0.2,1.7,3.9,2.7,bad
308,1.6,-0.2,-2.3,1.6,-1.1,-0.2,-0.2,bad
309,-0.4,-1.4,-0.9,1.3,-0.2,1.0,-1.4,bad
310,1.6,1.9,1.2,0.8,3.4,-2.5,6.0,good
311,-3.0,-0.2,1.3,-0.1,2.2,0.2,-1.1,good
312,-4.8,-2.4,5.0,-1.8,1.1,0.2,-2.2,good
313,-1.6,1.3,-0.1,0.9,3.0,0.5,0.6,bad
314,-2.1,1.0,2.2,2.3,-1.4,-2.2,1.3,bad
315,3.1,-3.1,-4.3,2.3,2.3,1.1,0.0,good
316,-0.4,1.2,-1.3,1.9,2.0,0.1,-1.9,good
317,-4.2,0.6,4.5,1.9,-1.4,-3.7,4.3,bad
318,-1.9,-2.5,-0.9,0.8,-2.3,1.5,-3.0,bad
319,-2.2,-1.0,0.9,-0.2,2.7,-0.8,2.3,bad
320,-0.7,-3.0,-0.4,2.9,2.6,-3.4,0.5,good
321,-0.1,-0.3,-2.2,1.7,-1.5,0.2,-0.8,bad
322,2.6,-0.4,-4.6,-0.0,3.8,1.1,-0.5,bad
323,-3.3,1.2,-2.0,0.6,2.1,3.4,0.9,bad
324,4.5,-0.5,-3.9,3.1,0.1,1.0,-1.2,good
325,-0.2,-2.5,2.8,2.7,1.0,1.3,2.9,good
326,-1.4,1.3,0.6,3.6,-1.6,0.2,-0.5,bad
327,4.0,-1.6,-2.0,0.3,1.9,1.3,2.8,good
328,3.0,-2.7,-1.5,2.8,3.2,-1.2,1.7,good
329,1.4,-1.6,-5.0,-0.1,-0.2,2.7,-0.6,bad
330,-0.8,-1.3,1.3,0.6,1.5,0.9,-1.1,good
331,2.7,0.5,-1.3,-2.8,-1.2,2.7,3.1,good
332,0.6,0.1,-0.1,0.8,1.4,-2.4,3.5,bad
333,-1.9,-2.0,0.9,1.6,-2.2,-0.6,-1.8,bad
334,-4.0,-1.2,2.6,-0.1,1.3,0.7,-1.0,good
335,1.4,-0.2,0.1,0.6,-1.5,-1.9,-0.7,bad
336,-3.1,-3.1,5.1,2.1,2.1,-1.2,-2.0,good
337,-1.0,2.3,1.7,3.1,1.4,-5.2,2.6,good
338,-0.9,-2.8,0.7,2.7,-2.9,-1.3,-2.1,bad
339,-1.6,-2.5,-0.3,1.0,0.9,-0.5,4.9,bad
340,-0.2,-1.1,-1.0,-0.1,1.0,2.9,-0.7,bad
341,2.9,0.7,-4.8,2.5,-3.9,2.5,-2.7,good
342,1.1,-1.5,-1.5,0.2,-0.1,-0.0,0.1,good
343,1.7,-1.5,-2.0,0.9,2.4,-0.3,2.1,good
344,0.6,-1.7,1.2,0.4,2.9,-2.7,2.2,good
345,0.6,-2.3,-0.2,1.1,2.5,-1.9,2.6,good
346,1.8,-2.6,-3.4,1.3,-0.8,1.5,1.0,good
347,-1.1,0.4,-0.8,0.5,4.1,2.3,-1.8,bad
348,1.8,0.8,0.6,0.7,-0.8,-0.9,2.6,good
349,1.2,-2.1,0.6,-1.7,-0.8,3.2,-4.0,good
350,-2.6,-1.3,2.4,1.4,2.9,-0.9,-1.1,good
351,3.8,-5.1,1.5,1.3,-2.3,5.6,2.7,good
352,1.3,-2.5,0.4,2.7,-0.3,2.3,1.5,good
353,-0.8,-1.2,0.3,0.6,2.3,-0.5,2.1,bad
354,0.7,-2.1,-0.1,-2.8,3.8,-0.5,1.5,good
355,-4.9,-0.7,2.7,1.7,1.3,1.1,1.6,bad
356,1.1,-3.0,0.5,3.0,-0.6,0.5,-0.6,bad
357,1.0,1.4,1.4,2.6,-1.4,-2.6,3.4,bad
358,-3.0,-0.5,-0.7,-0.7,-1.2,4.0,0.3,bad
359,-2.3,-2.9,-0.6,0.2,-2.6,1.3,-4.0,bad
360,-2.4,-3.5,-2.4,-1.3,4.4,3.4,2.2,bad
361,3.6,-1.3,-2.1,0.5,2.5,0.5,1.8,good
362,-1.6,-0.5,0.2,1.9,2.5,-0.0,-2.4,good
363,0.9,-0.9,-1.8,3.5,-0.3,-1.4,1.3,good
364,0.3,-1.7,0.3,1.1,-1.0,-0.9,3.7,bad
365,-4.8,-0.2,-1.9,-0.1,2.0,2.0,-3.7,bad
366,-0.3,0.2,-4.0,0.9,0.5,0.0,-0.7,good
367,3.3,-4.2,-2.3,0.2,-0.9,2.5,1.4,good
368,-3.4,1.1,0.4,-0.0,2.8,-0.6,-3.2,good
369,1.2,-2.5,-3.9,2.2,-0.6,0.8,-1.6,good
370,1.5,-1.3,1.5,1.7,2.4,-3.1,2.2,good
371,-2.5,-1.0,-4.7,0.5,-1.3,4.2,-2.1,bad
372,-2.1,-2.6,-0.8,0.3,-0.5,3.1,-2.5,bad
373,-1.0,1.9,-1.0,-1.1,0.5,-1.4,-0.1,good
374,-2.5,-1.8,2.0,1.2,2.0,0.5,-0.6,good
375,2.1,-1.1,-0.2,0.9,2.8,-1.2,3.7,good
376,-1.2,-0.7,-0.4,2.0,0.5,1.1,0.3,bad
377,1.8,-3.0,-0.4,3.2,1.6,2.8,0.6,good
378,1.9,-1.4,-1.4,2.7,0.7,2.7,-0.5,good
379,-1.7,-3.0,-1.9,-0.5,3.3,1.9,2.6,bad
380,-1.6,1.2,-1.6,-0.9,-0.4,2.7,1.1,bad
381,-2.8,-1.4,0.2,0.8,-0.5,-0.8,5.0,bad
382,-1.4,-1.6,0.6,2.6,3.4,0.0,-2.6,good
383,1.0,-4.5,-0.5,1.5,2.2,-1.5,-0.7,good
384,-0.1,-1.2,-1.1,2.7,-1.4,-1.9,-2.3,good
385,2.3,-1.8,-3.1,-0.9,1.3,1.7,-1.0,good
